"","x"
"as.factor(hurr_meta_intense_wa$year)1981",-35.8975000000001
"as.factor(hurr_meta_intense_wa$year)1982",-34.1225000000001
"as.factor(hurr_meta_intense_wa$year)1984",-37.0925
"as.factor(hurr_meta_intense_wa$year)1985",-31.1249999999999
"as.factor(hurr_meta_intense_wa$year)1988",-22.97
"as.factor(hurr_meta_intense_wa$year)1989",-11.8150000000001
"as.factor(hurr_meta_intense_wa$year)1991",-38.2650000000001
"as.factor(hurr_meta_intense_wa$year)1992",-23.8300000000002
"as.factor(hurr_meta_intense_wa$year)1995",-20.9850000000001
"as.factor(hurr_meta_intense_wa$year)1996",-16.7075
"as.factor(hurr_meta_intense_wa$year)1998",-14.6662500000001
"as.factor(hurr_meta_intense_wa$year)1999",-26.7150000000001
"as.factor(hurr_meta_intense_wa$year)2000",-31.96875
"as.factor(hurr_meta_intense_wa$year)2001",-39.45875
"as.factor(hurr_meta_intense_wa$year)2002",-35.8150000000001
"as.factor(hurr_meta_intense_wa$year)2003",0.939999999999961
"as.factor(hurr_meta_intense_wa$year)2004",-13.4450000000001
"as.factor(hurr_meta_intense_wa$year)2005",-25.139
"as.factor(hurr_meta_intense_wa$year)2007",-25.64625
"as.factor(hurr_meta_intense_wa$year)2008",-33.395
"as.factor(hurr_meta_intense_wa$year)2009",-25.7775000000001
"as.factor(hurr_meta_intense_wa$year)2010",-25.7168750000001
"as.factor(hurr_meta_intense_wa$year)2011",-29.4225
"as.factor(hurr_meta_intense_wa$year)2014",-26.305
"as.factor(hurr_meta_intense_wa$year)2015",-23.0350000000001
"as.factor(hurr_meta_intense_wa$year)2016",-13.87
