"","year","stder"
"2","1981",0.129332162765225
"3","1982",0.200621241480826
"4","1983",0.171090369599455
"5","1984",0.143144473168806
"6","1985",0.129332162765224
"7","1986",0.154218775082232
"8","1987",0.171090369599457
"9","1988",0.135258813413579
"10","1989",0.129332162765224
"11","1990",0.124702464350716
"12","1991",0.154218775082232
"13","1992",0.154218775082231
"14","1993",0.154218775082232
"15","1994",0.171090369599456
"16","1995",0.115349103652739
"17","1996",0.120979160539488
"18","1997",0.171090369599456
"19","1998",0.117915899778602
"20","1999",0.124702464350717
"21","2000",0.124702464350717
"22","2001",0.120979160539488
"23","2002",0.154218775082231
"24","2003",0.129332162765225
"25","2004",0.120979160539488
"26","2005",0.108207050730862
"27","2006",0.143144473168806
"28","2007",0.129332162765225
"29","2008",0.120979160539488
"30","2009",0.171090369599456
"31","2010",0.113165642419572
"32","2011",0.129332162765225
"33","2012",0.117915899778602
"34","2013",0.200621241480827
"35","2014",0.135258813413578
"36","2015",0.154218775082231
"37","2016",0.129332162765225
