"","storm_id","storm_name","n_obs","basin","basinid","year","num_id","max_wind_mph","max_wind_ms","min_pressure","max_category","aceyear","sum_of_sq_knts","ace"
"1","AL011851","UNNAMED",14,"Western Atlantic",1,"1851",185101.1,92,41.152,NA,1,1851,49100,4.91
"2","AL011852","UNNAMED",45,"Western Atlantic",1,"1852",185201.1,115,51.44,961,3,1852,263600,26.36
"3","AL011853","UNNAMED",1,"Western Atlantic",1,"1853",185301.1,58,25.72,NA,NA,1853,2500,0.25
"4","AL011854","UNNAMED",11,"Western Atlantic",1,"1854",185401.1,81,36.008,NA,1,1854,39000,3.9
"5","AL011855","UNNAMED",1,"Western Atlantic",1,"1855",185501.1,104,46.296,NA,2,1855,8100,0.81
"6","AL011856","UNNAMED",14,"Western Atlantic",1,"1856",185601.1,150,66.872,934,4,1856,117500,11.75
"7","AL011857","UNNAMED",8,"Western Atlantic",1,"1857",185701.1,58,25.72,NA,NA,1857,20000,2
"8","AL011858","UNNAMED",1,"Western Atlantic",1,"1858",185801.1,81,36.008,NA,1,1858,4900,0.49
"9","AL011859","UNNAMED",1,"Western Atlantic",1,"1859",185901.1,104,46.296,NA,2,1859,8100,0.81
"10","AL011860","UNNAMED",35,"Western Atlantic",1,"1860",186001.1,127,56.584,NA,3,1860,155400,15.54
"11","AL011861","UNNAMED",28,"Western Atlantic",1,"1861",186101.1,104,46.296,NA,2,1861,127600,12.76
"12","AL011862","UNNAMED",12,"Western Atlantic",1,"1862",186201.1,58,25.72,NA,NA,1862,30000,3
"13","AL011863","UNNAMED",8,"Western Atlantic",1,"1863",186301.1,104,46.296,NA,2,1863,48600,4.86
"14","AL011864","UNNAMED",12,"Western Atlantic",1,"1864",186401.1,81,36.008,NA,1,1864,53600,5.36
"15","AL011865","UNNAMED",1,"Western Atlantic",1,"1865",186501.1,58,25.72,NA,NA,1865,2500,0.25
"16","AL011866","UNNAMED",19,"Western Atlantic",1,"1866",186601.1,104,46.296,NA,2,1866,142900,14.29
"17","AL011867","UNNAMED",11,"Western Atlantic",1,"1867",186701.1,81,36.008,NA,1,1867,30400,3.04
