"","year","stder"
"2","1981",0.0699988741242569
"3","1985",0.0699988741242568
"4","1987",0.0699988741242569
"5","1988",0.0699988741242569
"6","1989",0.0699988741242568
"7","1990",0.0699988741242568
"8","1992",0.0699988741242566
"9","1995",0.0699988741242568
"10","1996",0.0699988741242567
"11","1998",0.0699988741242568
"12","1999",0.0699988741242568
"13","2000",0.0699988741242568
"14","2003",0.0699988741242568
"15","2004",0.0699988741242568
"16","2005",0.0553389689700189
"17","2007",0.0606208032279156
"18","2010",0.0699988741242569
"19","2011",0.0699988741242568
"20","2012",0.0699988741242568
"21","2015",0.0699988741242568
"22","2016",0.0699988741242568
