"","year","stder"
"2","1981",0.116664323450571
"3","1982",0.156521614670701
"4","1983",0.156521614670701
"5","1984",0.1565216146707
"6","1985",0.116664323450572
"7","1987",0.156521614670701
"8","1988",0.116664323450571
"9","1989",0.127799363219914
"10","1990",0.1565216146707
"11","1991",0.127799363219913
"12","1992",0.1565216146707
"13","1993",0.1565216146707
"14","1995",0.106924618622611
"15","1996",0.1043477431138
"16","1997",0.1565216146707
"17","1998",0.116664323450571
"18","1999",0.106924618622611
"19","2000",0.116664323450571
"20","2001",0.11067749513592
"21","2002",0.127799363219914
"22","2003",0.116664323450571
"23","2004",0.1043477431138
"24","2005",0.102467449589314
"25","2006",0.127799363219914
"26","2007",0.127799363219914
"27","2008",0.106924618622611
"28","2009",0.127799363219914
"29","2010",0.106924618622611
"30","2011",0.11067749513592
"31","2012",0.127799363219914
"32","2014",0.127799363219914
"33","2015",0.127799363219914
"34","2016",0.11067749513592
