"","year","stder"
"2","1981",0.160331026249879
"3","1982",0.194936476973746
"4","1983",0.224264179332177
"5","1984",0.157354157541274
"6","1985",0.163779399814153
"7","1986",0.194936476973748
"8","1987",0.185708383621573
"9","1988",0.160331026249877
"10","1989",0.163779399814152
"11","1990",0.154756986351311
"12","1991",0.178474463205909
"13","1992",0.185708383621573
"14","1993",0.178474463205911
"15","1994",0.185708383621573
"16","1995",0.145521815519957
"17","1996",0.157354157541273
"18","1997",0.178474463205911
"19","1998",0.15475698635131
"20","1999",0.160331026249878
"21","2000",0.152470323548616
"22","2001",0.152470323548616
"23","2002",0.160331026249877
"24","2003",0.150440984971482
"25","2004",0.152470323548616
"26","2005",0.136011388477239
"27","2006",0.167823944637404
"28","2007",0.152470323548616
"29","2008",0.150440984971483
"30","2009",0.172638645742694
"31","2010",0.145521815519957
"32","2011",0.145521815519957
"33","2012",0.145521815519957
"34","2013",0.15475698635131
"35","2014",0.17847446320591
"36","2015",0.163779399814153
"37","2016",0.152470323548616
