"","storm_id","date","time","record_indentifer","status","latitude","longitude","wind_knts","pressure","radii_34_ne","radii_34_se","radii_34_sw","radii_34_nw","radii_50_ne","radii_50_se","radii_50_sw","radii_50_nw","radii_64_ne","radii_64_se","radii_64_sw","radii_64_nw","storm_name","basin","basinid","num_id","status_code","record_indentifer_code","lat_dir","lon_dir","date_time","decade","year","category","wind_mph","max_wind_mph","min_pressure","max_category"
"75794","EP202015",2015-10-20," 0600",NA,"Tropical depression",13.4,94,25,1007,0,0,0,0,0,0,0,0,0,0,0,0,"PATRICIA","Eastern Pacific",2,201520.2," TD","  ","N","W",2015-10-20 06:00:00,"2010s",2015,NA,29,213,872,5
"75795","EP202015",2015-10-20," 1200",NA,"Tropical depression",13.3,94.2,30,1006,0,0,0,0,0,0,0,0,0,0,0,0,"PATRICIA","Eastern Pacific",2,201520.2," TD","  ","N","W",2015-10-20 12:00:00,"2010s",2015,NA,35,213,872,5
"75796","EP202015",2015-10-20," 1800",NA,"Tropical depression",13.2,94.6,30,1006,0,0,0,0,0,0,0,0,0,0,0,0,"PATRICIA","Eastern Pacific",2,201520.2," TD","  ","N","W",2015-10-20 18:00:00,"2010s",2015,NA,35,213,872,5
"75797","EP202015",2015-10-21," 0000",NA,"Tropical storm",13.1,95.1,35,1004,0,60,0,0,0,0,0,0,0,0,0,0,"PATRICIA","Eastern Pacific",2,201520.2," TS","  ","N","W",2015-10-21 00:00:00,"2010s",2015,NA,40,213,872,5
"75798","EP202015",2015-10-21," 0600",NA,"Tropical storm",12.9,96.2,35,1004,60,60,0,60,0,0,0,0,0,0,0,0,"PATRICIA","Eastern Pacific",2,201520.2," TS","  ","N","W",2015-10-21 06:00:00,"2010s",2015,NA,40,213,872,5
"75799","EP202015",2015-10-21," 1200",NA,"Tropical storm",12.9,97.4,40,1001,60,90,0,60,0,0,0,0,0,0,0,0,"PATRICIA","Eastern Pacific",2,201520.2," TS","  ","N","W",2015-10-21 12:00:00,"2010s",2015,NA,46,213,872,5
"75800","EP202015",2015-10-21," 1800",NA,"Tropical storm",13.1,98.7,50,997,80,100,0,80,30,0,0,30,0,0,0,0,"PATRICIA","Eastern Pacific",2,201520.2," TS","  ","N","W",2015-10-21 18:00:00,"2010s",2015,NA,58,213,872,5
"75801","EP202015",2015-10-22," 0000",NA,"Tropical storm",13.4,100.1,60,991,90,100,40,80,30,30,20,20,0,0,0,0,"PATRICIA","Eastern Pacific",2,201520.2," TS","  ","N","W",2015-10-22 00:00:00,"2010s",2015,NA,69,213,872,5
"75802","EP202015",2015-10-22," 0600",NA,"Hurricane",14,101.7,75,981,120,100,50,80,40,40,30,40,20,20,15,20,"PATRICIA","Eastern Pacific",2,201520.2," HU","  ","N","W",2015-10-22 06:00:00,"2010s",2015,1,86,213,872,5
"75803","EP202015",2015-10-22," 1200",NA,"Hurricane",14.6,103.1,90,969,150,100,50,80,40,40,30,40,20,20,15,20,"PATRICIA","Eastern Pacific",2,201520.2," HU","  ","N","W",2015-10-22 12:00:00,"2010s",2015,2,104,213,872,5
"75804","EP202015",2015-10-22," 1800",NA,"Hurricane",15.2,104.2,115,957,150,100,50,90,40,50,40,40,25,20,15,20,"PATRICIA","Eastern Pacific",2,201520.2," HU","  ","N","W",2015-10-22 18:00:00,"2010s",2015,4,132,213,872,5
"75805","EP202015",2015-10-23," 0000",NA,"Hurricane",15.8,104.9,150,920,150,100,60,110,50,50,40,40,25,20,20,20,"PATRICIA","Eastern Pacific",2,201520.2," HU","  ","N","W",2015-10-23 00:00:00,"2010s",2015,5,173,213,872,5
"75806","EP202015",2015-10-23," 0600",NA,"Hurricane",16.5,105.4,180,886,150,100,60,130,50,50,40,40,25,20,20,20,"PATRICIA","Eastern Pacific",2,201520.2," HU","  ","N","W",2015-10-23 06:00:00,"2010s",2015,5,207,213,872,5
"75807","EP202015",2015-10-23," 1200",NA,"Hurricane",17.3,105.6,185,872,150,100,60,130,50,50,40,40,25,25,20,25,"PATRICIA","Eastern Pacific",2,201520.2," HU","  ","N","W",2015-10-23 12:00:00,"2010s",2015,5,213,213,872,5
"75808","EP202015",2015-10-23," 1800",NA,"Hurricane",18.3,105.3,180,878,150,110,80,120,50,50,50,60,30,30,20,30,"PATRICIA","Eastern Pacific",2,201520.2," HU","  ","N","W",2015-10-23 18:00:00,"2010s",2015,5,207,213,872,5
"75809","EP202015",2015-10-23," 2300","Landfall (center of system crossing a coastline)","Hurricane",19.4,105,130,932,150,110,80,120,50,50,50,60,30,30,20,30,"PATRICIA","Eastern Pacific",2,201520.2," HU"," L","N","W",2015-10-23 23:00:00,"2010s",2015,4,150,213,872,5
"75810","EP202015",2015-10-24," 0000",NA,"Hurricane",19.6,104.9,110,946,80,110,70,70,30,50,40,40,15,25,15,15,"PATRICIA","Eastern Pacific",2,201520.2," HU","  ","N","W",2015-10-24 00:00:00,"2010s",2015,3,127,213,872,5
"75811","EP202015",2015-10-24," 0600",NA,"Tropical storm",21.6,103.8,50,985,0,50,0,30,0,20,0,0,0,0,0,0,"PATRICIA","Eastern Pacific",2,201520.2," TS","  ","N","W",2015-10-24 06:00:00,"2010s",2015,NA,58,213,872,5
"75812","EP202015",2015-10-24," 1200",NA,"Tropical depression",23.2,102.3,25,1000,0,0,0,0,0,0,0,0,0,0,0,0,"PATRICIA","Eastern Pacific",2,201520.2," TD","  ","N","W",2015-10-24 12:00:00,"2010s",2015,NA,29,213,872,5
